"Time","GHI"
2023-01-01 08:21:00,14.1 W/m²
2023-01-01 08:22:00,14.8 W/m²
2023-01-01 08:23:00,15.8 W/m²
2023-01-01 08:24:00,17.2 W/m²
2023-01-01 08:25:00,17.7 W/m²
2023-01-01 08:26:00,18.6 W/m²
2023-01-01 08:27:00,19.5 W/m²
2023-01-01 08:28:00,20.7 W/m²
2023-01-01 08:29:00,21.7 W/m²
2023-01-01 08:30:00,22.3 W/m²
2023-01-01 08:31:00,23.6 W/m²
2023-01-01 08:32:00,24.2 W/m²
2023-01-01 08:33:00,25.4 W/m²
2023-01-01 08:34:00,26.0 W/m²
2023-01-01 08:35:00,26.6 W/m²
2023-01-01 08:36:00,27.5 W/m²
2023-01-01 08:37:00,28.2 W/m²
2023-01-01 08:38:00,28.9 W/m²
2023-01-01 08:39:00,29.7 W/m²
2023-01-01 08:40:00,30.3 W/m²
2023-01-01 08:41:00,31.1 W/m²
2023-01-01 08:42:00,31.6 W/m²
2023-01-01 08:43:00,32.1 W/m²
2023-01-01 08:44:00,32.4 W/m²
2023-01-01 08:45:00,33.0 W/m²
2023-01-01 08:46:00,33.1 W/m²
2023-01-01 08:47:00,33.2 W/m²
2023-01-01 08:48:00,33.3 W/m²
2023-01-01 08:49:00,33.6 W/m²
2023-01-01 08:50:00,33.3 W/m²
2023-01-01 08:51:00,33.3 W/m²
2023-01-01 08:52:00,33.0 W/m²
2023-01-01 08:53:00,33.3 W/m²
2023-01-01 08:54:00,33.1 W/m²
2023-01-01 08:55:00,33.5 W/m²
2023-01-01 08:56:00,33.7 W/m²
2023-01-01 08:57:00,34.3 W/m²
2023-01-01 08:58:00,35.0 W/m²
2023-01-01 08:59:00,35.7 W/m²
2023-01-01 09:00:00,36.6 W/m²
2023-01-01 09:01:00,37.0 W/m²
2023-01-01 09:02:00,37.9 W/m²
2023-01-01 09:03:00,38.2 W/m²
2023-01-01 09:04:00,38.7 W/m²
2023-01-01 09:05:00,39.1 W/m²
2023-01-01 09:06:00,39.9 W/m²
2023-01-01 09:07:00,40.6 W/m²
2023-01-01 09:08:00,41.6 W/m²
2023-01-01 09:09:00,42.7 W/m²
2023-01-01 09:10:00,44.0 W/m²
2023-01-01 09:11:00,45.4 W/m²
2023-01-01 09:12:00,45.9 W/m²
2023-01-01 09:13:00,47.4 W/m²
2023-01-01 09:14:00,48.3 W/m²
2023-01-01 09:15:00,49.2 W/m²
2023-01-01 09:16:00,50.8 W/m²
2023-01-01 09:17:00,51.5 W/m²
2023-01-01 09:18:00,52.9 W/m²
2023-01-01 09:19:00,53.9 W/m²
2023-01-01 09:20:00,55.2 W/m²
2023-01-01 09:21:00,56.2 W/m²
2023-01-01 09:22:00,57.5 W/m²
2023-01-01 09:23:00,59.1 W/m²
2023-01-01 09:24:00,59.9 W/m²
2023-01-01 09:25:00,61.9 W/m²
2023-01-01 09:26:00,63.2 W/m²
2023-01-01 09:27:00,64.0 W/m²
2023-01-01 09:28:00,65.7 W/m²
2023-01-01 09:29:00,66.9 W/m²
2023-01-01 09:30:00,68.4 W/m²
2023-01-01 09:31:00,69.8 W/m²
2023-01-01 09:32:00,70.8 W/m²
2023-01-01 09:33:00,71.2 W/m²
2023-01-01 09:34:00,72.5 W/m²
2023-01-01 09:35:00,72.6 W/m²
