"Time","Lux4 Regression","Lux6 Regression","Lux0 Regression","Lux3 Regression","Lux1 Regression","Lux8 Regression","Lux2 Regression","Lux7 Regression","Lux5 Regression"
2022-12-29 08:40:00,2820,2607,400,3010,4046,2473,3392,2533,2698
2022-12-29 08:40:30,2590,2379,400,2781,3955,2256,3077,2310,2468
2022-12-29 08:41:00,2416,2208,400,2642,3896,2106,2890,2154,2298
2022-12-29 08:41:30,2290,2123,400,2575,3851,2031,2805,2074,2196
2022-12-29 08:42:00,2280,2098,400,2545,3818,2019,2771,2057,2176
2022-12-29 08:42:30,2372,2129,400,2565,3796,2061,2751,2091,2221
2022-12-29 08:43:00,2453,2198,400,2642,3783,2132,2770,2156,2275
2022-12-29 08:43:30,2503,2263,400,2725,3780,2206,2828,2227,2344
2022-12-29 08:44:00,2544,2332,400,2788,3781,2279,2917,2296,2401
2022-12-29 08:44:30,2610,2407,400,2833,3796,2362,3025,2377,2478
2022-12-29 08:45:00,2727,2514,400,2889,3835,2469,3210,2481,2583
2022-12-29 08:45:30,2888,2664,400,3036,3896,2635,3481,2642,2753
2022-12-29 08:46:00,3093,2894,400,3288,3988,2877,3824,2875,2982
2022-12-29 08:46:30,3360,3174,400,3578,4167,3163,4150,3155,3240
2022-12-29 08:47:00,3629,3440,400,3846,4421,3435,4420,3421,3492
2022-12-29 08:47:30,3834,3646,400,4048,4670,3649,4611,3633,3701
2022-12-29 08:48:00,3968,3801,400,4197,4833,3804,4744,3786,3863
2022-12-29 08:48:30,4122,3936,400,4323,4980,3941,4863,3926,3988
2022-12-29 08:49:00,4265,4072,400,4452,5153,4077,4967,4065,4125
2022-12-29 08:49:30,4406,4230,400,4597,5407,4234,5092,4224,4284
2022-12-29 08:50:00,4584,4419,400,4801,5722,4420,5234,4416,4465
2022-12-29 08:50:30,4804,4630,400,5023,6020,4619,5393,4629,4680
2022-12-29 08:51:00,5054,4905,400,5253,6346,4858,5648,4895,4946
2022-12-29 08:51:30,5368,5231,400,5548,6697,5135,6012,5206,5266
2022-12-29 08:52:00,5746,5612,400,5933,7080,5439,6399,5560,5645
2022-12-29 08:52:30,6143,6003,400,6340,7504,5728,6783,5902,6040
2022-12-29 08:53:00,6539,6342,400,6756,7918,5992,7130,6209,6421
2022-12-29 08:53:30,6852,6601,400,7094,8349,6207,7517,6451,6720
2022-12-29 08:54:00,7082,6790,400,7334,8630,6370,7755,6618,6935
2022-12-29 08:54:30,7299,6986,400,7542,8891,6539,7973,6795,7139
2022-12-29 08:55:00,7538,7218,400,7778,9130,6745,8249,7027,7375
